STT,Tên Quẻ,Thơ (Hán Việt/Nôm),Dịch Nghĩa,Lời Bàn (Commentary),Lời Khuyên Tu Tập (Advice)
75,"Quẻ Số 75 - Trung Bình (Ngũ Viên qua ải)","Kháp như bão hổ quá sơn tiền,\nChiến chiến căng căng đảm khí hàn.\nNhược đắc quý nhân tương viện trợ,\nBất như thủ cựu đãi thời toàn.","Giống như ôm hổ qua trước non,\nRun run rẩy rẩy mật gan hàn.\nNếu được quý nhân ra viện trợ,\nChi bằng giữ cũ đợi vẹn toàn.","Tình thế cực kỳ nguy hiểm, như ôm hổ đi qua núi. Tâm trạng lo sợ, bất an tột độ. May mắn thì thoát nạn nhờ quý nhân, nhưng tốt nhất là không nên mạo hiểm. Giữ nguyên vị trí cũ thì an toàn hơn.","Đây là lúc thực hành pháp 'Vô úy' (Không sợ hãi). Niệm danh hiệu Bồ Tát Quán Thế Âm để trấn an tinh thần. Cẩn trọng trong từng bước đi, không làm việc liều lĩnh. Sự an toàn là ưu tiên hàng đầu."
76,"Quẻ Số 76 - Trung Bình (Hồng Vũ khán ngưu)","Ngư long hỗn tạp ý hòa đồng,\nNại thủ hàn đàm vị tế ông.\nBất giác nhất triêu đầu giác lộ,\nThẳng bôn thanh vân thấu cửu trùng.","Cá rồng lẫn lộn ý hòa đồng,\nKiên nhẫn đầm hàn chưa gặp ông.\nChẳng hay một sớm đầu sừng lộ,\nThẳng vút mây xanh thấu cửu trùng.","Lúc hàn vi, rồng cá lẫn lộn chưa phân biệt được. Phải chịu cảnh thấp hèn, chờ đợi trong khó khăn (đầm lạnh). Nhưng khi thời cơ đến, rồng sẽ lộ sừng, bay vút lên cao, làm nên nghiệp lớn từ tay trắng.","Đừng mặc cảm vì xuất thân hay hoàn cảnh hiện tại. Hãy coi đó là môi trường rèn luyện ý chí. Sống hòa đồng, khiêm cung nhưng nuôi dưỡng chí lớn. Phước đức tích tụ đủ đầy sẽ tạo đà cho bước nhảy vọt."
77,"Quẻ Số 77 - Trung Bình (Phủng bích hoàn Triệu)","Mộng trung thuyết mộng hoạch đa tài,\nThân ngoại phù danh tổng mạc đoán.\nThủy viễn sơn dao nan tín định,\nQuý nhân nhất chỉ tiếu nhan khai.","Trong mộng nói mộng hoạch nhiều tài,\nPhù danh ngoài thân chớ nên đoán.\nNước xa núi thẳm tin khó định,\nQuý nhân một chỉ mặt cười tươi.","Những lo toan, tính toán về danh lợi chỉ là ảo mộng. Tin tức xa xôi mờ mịt. Nhưng nhờ sự khôn khéo và may mắn (quý nhân chỉ điểm) mà giữ được vật quý, thoát được khó khăn, cuối cùng cũng vui vẻ.","Trân trọng giá trị thực (viên ngọc bích) bên trong mình là Lương tâm và Phẩm hạnh. Đừng đánh đổi nó lấy phù danh ảo ảnh. Dùng trí tuệ và sự khéo léo (Phương tiện thiện xảo) để giải quyết xung đột êm đẹp."
78,"Quẻ Số 78 - Thượng Cát (Tần Mật đắc báo)","Lãnh thủy lai thiêu bạch tuyết hòa,\nBất hàn bất nhiệt đắc trung hòa.\nKhuất thân chỉ đắc nhân tình trọng,\nTương phùng vĩnh viễn lạc như hà.","Nước lạnh đem đun tuyết trắng hòa,\nChẳng lạnh chẳng nóng được trung hòa.\nKhuất thân chỉ được người tình trọng,\nGặp gỡ mãi mãi vui thái hòa.","Mọi sự xung khắc được hóa giải, trở nên hài hòa (như nước lạnh hòa tuyết đun sôi). Biết nhún nhường (khuất thân) thì được người đời kính trọng. Bệnh tật tiêu trừ, gia đạo an vui, tình cảm bền chặt.","Học hạnh 'Khiêm cung'. Lùi một bước trời cao biển rộng. Sự nhẫn nhịn và khiêm tốn không làm bạn thấp đi mà càng khiến người khác nể trọng. Sống hài hòa với mọi người (Lục hòa cộng trụ) là hạnh phúc chân thật."
79,"Quẻ Số 79 - Trung Bình (Ám độ Trần Thương)","Hư hư thực thực sấm thiên cơ,\nẨn nặc nâm cừu sự chuyển nghi.\nNguyện vấn trung tâm nan tiến thoái,\nTúy ông chi ý bất tại ly.","Hư hư thực thực sấm thiên cơ,\nChe giấu thâm thù việc chuyển nghi.\nXin hỏi trong lòng nan tiến thoái,\nÝ của say ông chẳng ở ly.","Sự việc thật giả khó lường, như người say ý không ở chén rượu. Có mưu tính ngầm, đường đi nước bước không lộ ra ngoài. Tiến thoái lưỡng nan, cần phải dùng mưu mẹo mới thoát được hoặc thành công.","Nhìn sâu vào bản chất sự việc, đừng bị đánh lừa bởi hiện tượng bề ngoài. Có những lúc cần uyển chuyển, linh hoạt (Tùy cơ ứng biến) chứ không thể cứng nhắc. Giữ tâm tỉnh táo giữa mê hồn trận."
80,"Quẻ Số 80 - Thượng Cát (Trí Viễn đầu quân)","Trực thượng tiên nham thái dược chi,\nĐương nhiên nhất tiễn xạ điêu nhi.\nNgộ nhân kết quái giao hàm chiếc,\nĐắc ý vinh quy triển tráng nghi.","Lên thẳng non tiên hái thuốc chi,\nĐương nhiên một tiễn bắn chim nhi.\nGặp người kết quái giao hàm chiếc,\nĐắc ý vinh quy triển dung nghi.","Công thành danh toại. Như lên non tiên hái thuốc quý, bắn một mũi tên trúng hai đích (xạ điêu). Gặp được người tài giỏi kết giao. Vinh quy bái tổ, rạng rỡ tông môn.","Thành công đến từ sự chuẩn bị kỹ càng và tài năng thực sự. Khi đắc ý vinh quy, hãy nhớ đến cội nguồn (tri ân). Dùng thành công đó để làm đẹp cho đời, giúp đỡ quê hương, dòng họ."
81,"Quẻ Số 81 - Trung Bình (Khấu Chuẩn về quê)","Nguyệt đê sương trọng lộ điều diêu,\nTrắc trắc hàng hàng tâm sự đa.\nKiến đắc trung thu viên nguyệt thiếu,\nHốt nhiên vân quyển hựu trùng viên.","Trăng thấp sương dày lối hắt hiu,\nBăn khoăn lo lắng rối tơi bời.\nThấy trăng rằm đó mà chưa trọn,\nBỗng chốc mây tan lại sáng ngời.","Đường đi mờ mịt, sương dày gió lạnh, lòng nhiều lo âu. Tưởng như trăng khuyết không tròn. Nhưng bất ngờ mây tan, trăng lại sáng. Tiền hung hậu cát, ban đầu khó khăn nhưng sau sẽ tốt đẹp.","Đừng mất hy vọng khi thấy hoàn cảnh u ám. Giữ vững niềm tin (Tín tâm) vào lẽ phải. Mây mù vô minh chỉ che lấp nhất thời, tu tập sự kiên định và trí tuệ thì ánh sáng chân lý sẽ lại soi đường."
82,"Quẻ Số 82 - Thượng Cát (Lý Phi hoàn cung)","Viêm viêm liệt hỏa nhiệt hồng lư,\nHỏa khối viêm thiên ngọc bất khô.\nThiên lý oan khiên giai giải tán,\nĐại nạn bất tử họa hoàn vô.","Lửa hừng hực cháy nóng lò hồng,\nLửa bốc ngất trời ngọc chẳng khô.\nNgàn dặm oan khiên đều giải tán,\nĐại nạn không chết họa thành vô.","Lửa thử vàng, gian nan thử sức. Dù bị nung trong lò lửa oan ức (như Lý Phi bị hại) thì ngọc quý vẫn không bị hủy hoại. Oan tình được giải, thoát chết trong gang tấc, phúc lộc lại về.","Thân tâm thanh tịnh thì không sợ lửa dữ. Dù bị vu oan giá họa, hãy giữ tâm bất động, không oán thù. Sự trong sạch và đức hạnh của bạn sẽ được trời đất chứng minh. Sau cơn mưa trời lại sáng."
83,"Quẻ Số 83 - Thượng Thượng (Lý Uyên đăng vị)","Tỷ như tân nguyệt thượng thiên đình,\nDịch dịch quang huy vạn lý minh.\nThử thời lợi danh giai đắc toại,\nChính đương hỏa hầu quát con thành.","Ví như trăng mới lên thiên đình,\nVằng vặc sáng soi vạn dặm xanh.\nLúc này danh lợi đều toại ý,\nĐúng lúc lửa hương quát công thành.","Thời vận đang lên như trăng non mọc, ánh sáng soi chiếu vạn dặm. Danh lợi đều toại nguyện. Công việc chín muồi, gặt hái thành công rực rỡ.","Nắm bắt thời cơ (Tinh tấn) để làm những việc lớn. Tuy nhiên, trăng mới mọc cần vun bồi thêm. Đừng kiêu ngạo. Dùng ảnh hưởng của mình để soi sáng và dẫn dắt người khác cùng tiến bộ."
84,"Quẻ Số 84 - Hạ Hạ (Trang Tử thử vợ)","Nhân phi quân tử đạo bất tình,\nBất tín nhân tâm trúc diệp thanh.\nKhủng bố tha tâm nhân bất trắc,\nLâm thời sự đáo thủy tri tình.","Người chẳng quân tử đạo bất tình,\nChẳng tin lòng người lá trúc xanh.\nSợ rằng lòng dạ người khôn lường,\nLâm thời việc đến mới hay tình.","Lòng người khó lường, trắng đen lẫn lộn. Người mình tin tưởng (như vợ Trang Tử) lại có thể phản bội. Bề ngoài tốt đẹp (như lá trúc xanh) nhưng bên trong hiểm độc. Cẩn thận bị lừa dối.","Đừng đặt niềm tin mù quáng vào người khác khi chưa hiểu rõ tâm tính họ. Thực hành 'Chánh niệm' để quan sát và nhận diện sự thật. Chuẩn bị tinh thần cho những thay đổi bất ngờ của lòng người để không bị tổn thương."
85,"Quẻ Số 85 - Trung Bình (Hàn Tương Tử ngộ Tiên)","Trùng trùng lâu các tủng vân tiêu,\nNgọa liễu sương hoa mãn phố điêu.\nDị đắc trần ai tao quát mục,\nĐãi khan thu sắc hựu trùng nhiêu.","Trùng trùng lầu gác ngất mây xanh,\nLiễu rủ hoa sương rụng đầy thành.\nMuốn được bụi trần mau quét sạch,\nChờ xem sắc thu lại tươi xanh.","Cảnh vật tiêu điều, sương khói mờ ảo. Muốn thoát tục, muốn thành công ngay nhưng chưa được. Phải chờ đến mùa thu, khi sương tan, cảnh sắc mới tươi đẹp trở lại. Cần thời gian và sự kiên nhẫn.","Muốn đạt cảnh giới cao (lầu gác tầng mây) hay thành tựu lớn thì không thể nóng vội. Phải trải qua quá trình rèn luyện gian khổ (quét bụi trần). Hãy kiên trì tu dưỡng, thời gian sẽ trả lời."
86,"Quẻ Số 86 - Thượng Cát (Quản Bảo kết giao)","Xuân lai hoa phát ánh dương đài,\nVạn lý xa lai tiến bảo tài.\nNhược đắc vũ nghi tương tá lực,\nCông thành danh toại tiếu nhan khai.","Xuân sang hoa nở rạng đài dương,\nMuôn dặm xe mang báu vật dâng.\nNếu được vây cánh cùng trợ lực,\nCông thành danh toại mặt mày vinh.","Mùa xuân đến, hoa nở rực rỡ. Tài lộc từ xa đưa tới. Nếu có bạn tốt, cộng sự đắc lực (như Quản Trọng và Bảo Thúc Nha) giúp đỡ thì công danh sự nghiệp đại thành công.","Sức mạnh của tình bạn chân chính và sự hợp tác (Tăng thân). Hãy biết chia sẻ quyền lợi và tin tưởng đồng đội. Một mình đi nhanh, nhưng đi cùng nhau mới đi xa. Trân trọng người tri kỷ."
87,"Quẻ Số 87 - Trung Bình (Giảo Kim thám địa huyệt)","Nhân hành bán lĩnh nhật hàm sơn,\nTuấn lĩnh nham đầu tẩu đích nan.\nNgưỡng vọng thượng thiên thùy hộ hựu,\nĐắc an thân xứ thả an thân.","Người đi lưng núi nhật ngậm sơn,\nĐầu non dốc đứng chạy khó khăn.\nNgửa trông trời cao ban che chở,\nĐược chốn an thân hãy an thân.","Như đi giữa lưng chừng núi khi mặt trời sắp lặn, tiến thoái đều khó. Đường đi hiểm trở. Chỉ còn biết cầu trời khấn phật che chở. Tìm được chỗ an toàn thì nên dừng lại nghỉ ngơi, đừng cố đi tiếp.","Biết điểm dừng (Tri chỉ). Khi thấy nguy hiểm và lực bất tòng tâm, đừng liều lĩnh. Tìm nơi an trú cho tâm hồn (Tam Bảo) để bình ổn lại. Sự an toàn quan trọng hơn danh lợi phù du."
88,"Quẻ Số 88 - Hạ Hạ (Bàng Quyên tử tại Mã Lăng)","Mộc điêu nhất hổ tại sơn lâm,\nViễn vọng uy nghi tướng mạo sâm.\nTúng sử mộc đầu nan khởi vũ,\nĐồ lao tâm lực uổng tham tâm.","Gỗ tạc một hổ tại rừng sâu,\nXa trông uy nghi tướng mạo ngầu.\nVí phỏng đầu gỗ khôn nhảy múa,\nUổng lao tâm lực luống tham cầu.","Hữu danh vô thực, như hổ gỗ trong rừng, nhìn xa thì oai nhưng lại gần thì vô dụng. Mọi mưu tính, tham vọng (như Bàng Quyên) cuối cùng đều thất bại thảm hại, uổng phí tâm cơ.","Cảnh tỉnh về lòng tham và sự giả tạo. Sống chân thật, đừng cố tạo vỏ bọc hào nhoáng mà bên trong rỗng tuếch. Gieo nhân tham ác ắt gặt quả thảm bại. Quay đầu sám hối, sống thực tế và thiện lương."
89,"Quẻ Số 89 - Thượng Cát (Đại Bằng triển sí)","Xuất nhập doanh mưu đại cát xương,\nVô tai vô hại diệc vô ương.\nHoàng kim mãn hốt nhân mãn nguyệt,\nĐắc ý vinh hoa phú thọ trường.","Ra vào mưu tính đại cát xương,\nKhông tai không hại cũng không ương.\nVàng ròng đầy hốt người đầy nguyệt,\nĐắc ý vinh hoa phú thọ trường.","Như chim đại bàng tung cánh. Làm gì cũng thuận lợi, đại cát đại lợi. Tiền bạc đầy nhà, nhân khẩu đông vui (người như trăng tròn). Phú quý thọ khang ninh đều đủ cả.","Phước báu viên mãn. Hãy dùng sự thịnh vượng này để làm lợi lạc cho đời (Bố thí, Cúng dường). Khi có đủ đầy vật chất, hãy chú trọng tu tập tâm linh để sự giàu có mang ý nghĩa trọn vẹn và bền vững."
90,"Quẻ Số 90 - Trung Bình (Dương Văn Quảng bị vây)","Hốt nhiên nhất tín hạ thiên đình,\nHựu tiêu tai ách hựu tiêu kinh.\nNhậm quân trù hoạch giai như ý,\nKim nhật hân phùng trợ cốt canh.","Bỗng nhiên một tin xuống thiên đình,\nVừa tiêu tai ách vừa tiêu kinh.\nMặc bạn toan tính đều như ý,\nHôm nay vui gặp kẻ trợ mình.","Đang trong cảnh khốn cùng (bị vây) bỗng nhận được tin vui từ trên xuống, giải tỏa mọi tai ách sợ hãi. Có quý nhân (cốt canh chi thần) đến cứu giúp, mọi toan tính trở nên hanh thông.","Phép lạ thường xuất hiện lúc tuyệt vọng nhất nếu ta giữ vững niềm tin. Hãy kiên trì cầu nguyện và giữ tâm thiện lành. Sự cứu trợ sẽ đến đúng lúc. Biết ơn những người đã giúp mình vượt qua hoạn nạn."
91,"Quẻ Số 91 - Thượng Thượng (Tông Xác phá lãng)","Hảo bả sầu mi tu triển khai,\nĐại bồi nguyên khí đãi thời lai.\nNhất triêu đại lãng thừa phong khởi,\nVạn lý giang sơn nhất đán khai.","Hãy đem mày sầu mở giãn ra,\nBồi to nguyên khí đợi thời qua.\nMột sớm sóng lớn thừa gió dậy,\nMuôn dặm giang sơn phút chốc òa.","Hãy vui lên, đừng âu sầu nữa. Tích lũy nội lực (nguyên khí) để chờ thời. Sẽ có ngày cưỡi gió mạnh đạp sóng dữ (như Tông Xác), mở ra cơ đồ vạn dặm. Chí lớn ắt thành.","Nuôi dưỡng chí khí lớn (Đại nguyện). Đừng chìm đắm trong nỗi buồn nhỏ nhặt. Rèn luyện sức khỏe và trí tuệ mỗi ngày. Khi thời cơ đến, hãy dũng mãnh dấn thân để thực hiện ước mơ."
92,"Quẻ Số 92 - Thượng Cát (Lý Bạch chơi thuyền)","Kinh thương đắc lợi xứng tâm hoài,\nPhúc lộc vinh hoa diện tiếu khai.\nNhược vấn tiền trình bần phú sự,\nCụ thị tiền sinh tác định lai.","Buôn bán đắc lợi thỏa lòng ai,\nPhúc lộc vinh hoa mặt cười tươi.\nNếu hỏi tiền trình giàu hay nghèo,\nĐều là kiếp trước định an bài.","Làm ăn buôn bán rất phát đạt, tiền vào như nước, vui vẻ hân hoan. Sự giàu sang này là do phúc đức từ kiếp trước mang lại.","Hiểu rõ lý 'Nhân quả ba đời'. Sự giàu có hiện tại là quả của nhân lành quá khứ. Đừng ỷ lại mà hưởng thụ hết phước. Hãy tiếp tục gieo nhân lành mới (làm từ thiện, giúp đỡ người nghèo) để phước báu miên trường."
93,"Quẻ Số 93 - Trung Bình (Cao Quân Bảo gặp Lưu Kim Định)","Loan phụng tường vân thụy khí đa,\nPhụng cầu loan điểu dĩ tương hòa.\nĐương kim thả tiếu nhân tình trọng,\nHựu kiến trùng trùng hỷ khí gia.","Loan phụng mây lành khí tốt đa,\nPhụng cầu chim loan đã tương hòa.\nNgày nay hãy cười tình người trọng,\nLại thấy trùng trùng hỷ khí gia.","Điềm lành rực rỡ, loan phụng hòa minh. Tình duyên tốt đẹp, trai tài gái sắc gặp nhau. Gia đạo vui vẻ, hỷ khí trùng trùng. Mọi sự đều thuận hòa, tình thâm nghĩa trọng.","Tình yêu thương và sự hòa hợp là nền tảng của hạnh phúc. Hãy vun đắp cho các mối quan hệ bằng sự tôn trọng và thấu hiểu. Sống trọn vẹn nghĩa tình với người thân và bạn bè."
94,"Quẻ Số 94 - Hạ Hạ (Bá Nha đoạn huyền)","Chỉ khủng tiền đồ minh hữu biến,\nKhuyên quân tác cấp khả nghi tiên.\nThả thủ Trường Giang vô đại sự,\nMệnh phùng Thái Bạch thủ tàn biên.","Chỉ sợ đường trước rõ có biến,\nKhuyên bạn kíp kíp liệu trước tiên.\nHãy giữ Trường Giang không việc lớn,\nMệnh gặp sao Thái Bạch giữ biên tàn.","Dự báo tương lai có biến cố xấu (như Bá Nha đứt dây đàn, mất bạn). Cần phải lo liệu phòng bị ngay. Nên giữ mình, không làm việc lớn, không đi xa. Mệnh gặp sao xấu (Thái Bạch) chiếu, nên an phận.","Vô thường là quy luật, hợp rồi tan. Khi gặp mất mát, chia ly, hãy quán chiếu để không quá bi lụy. Cẩn trọng trong mọi hành động, 'Phòng bệnh hơn chữa bệnh'. Tụng kinh cầu an để hóa giải bớt vận hạn."
95,"Quẻ Số 95 - Trung Bình (Tào Phi xưng Đế)","Chí khí công danh đắc tiện ninh,\nLâm thời canh cử khánh vân hanh.\nĐương phùng lõa thể xuyên lăng quyến,\nTiện đắc cao quan hiển tính danh.","Chí khí công danh được yên lành,\nLâm thời lại cất tiếng vui thanh.\nĐang lúc mình trần mặc lụa gấm,\nLiền được quan cao rạng tính danh.","Có chí khí, công danh sẽ thành đạt (như Tào Phi lên ngôi). Từ chỗ nghèo khó (mình trần) mà được mặc áo gấm, làm quan to. Tuy nhiên thành công này cũng cần phải giữ gìn cẩn thận mới yên (ninh).","Danh vọng như dao hai lưỡi. Khi đạt được địa vị cao, càng phải thận trọng và giữ mình trong sạch. Đừng để quyền lực làm tha hóa bản chất. Tu đức để giữ vững ngai vàng của lòng người."
96,"Quẻ Số 96 - Thượng Cát (Đậu Yên Sơn tích thiện)","Nguy nguy bảo tháp bất tầm thường,\nBát diện lung linh sắc tống vàng.\nTu đắc âm chất nhân ca tụng,\nPhúc lộc vinh hoa thế thế xương.","Nguy nga bảo tháp chẳng tầm thường,\nTám mặt lung linh sắc rực vàng.\nTu được âm đức người ca tụng,\nPhúc lộc vinh hoa đời đời xương.","Như ngọn tháp báu tỏa sáng tám phương. Nhờ tích được nhiều âm đức (như Đậu Yên Sơn làm việc thiện, nuôi dạy 5 con thành đạt) nên được người đời ca tụng. Phúc lộc truyền đời này sang đời khác.","Khẳng định sức mạnh của việc 'Tích thiện'. Không có di sản nào quý giá hơn đức độ để lại cho con cháu. Hãy nỗ lực làm việc thiện không mệt mỏi, xây dựng 'ngôi tháp' công đức cho chính mình và dòng họ."
97,"Quẻ Số 97 - Trung Bình (Khổng Minh lục xuất Kỳ Sơn)","Đương niên hứa quốc thốn tâm đan,\nLục xuất Kỳ Sơn khuất chỉ đạn.\nTrí dũng vị năng hưng Hán nghiệp,\nThử thân do luyến Định Quân San.","Năm ấy hứa nước tấc lòng son,\nSáu ra Kỳ Sơn tính ngón tay.\nTrí dũng chưa hay hưng nghiệp Hán,\nThân này còn luyến núi Định Quân.","Tận trung báo quốc, một lòng vì việc lớn (như Khổng Minh). Dù có tài trí dũng lược nhưng thiên thời không thuận nên nghiệp lớn chưa thành trọn vẹn, để lại nhiều tiếc nuối.","Cố gắng hết mình nhưng biết chấp nhận kết quả (Thuận thiên). Đôi khi thành công không phải là đạt được mục đích cuối cùng, mà là đã sống trọn vẹn với lý tưởng và lương tâm của mình (Tận nhân lực)."
98,"Quẻ Số 98 - Hạ Hạ (Hạng Vũ bại Ô Giang)","Kinh doanh xuất nhập uổng đồ lao,\nNgư phủ điếu đài tổng bị tao.\nTử tử sinh sinh tạo định mệnh,\nMãnh hổ tận hãm tại lung lao.","Kinh doanh ra vào uổng công lao,\nÔng chài đài câu thảy bị xao.\nSống sống chết chết do định mệnh,\nMãnh hổ cùng hãm tại lồng lao.","Mọi nỗ lực kinh doanh, mưu cầu đều thất bại, uổng công vô ích. Như mãnh hổ sa cơ bị nhốt trong lồng, như Hạng Vũ bại trận. Vận mệnh đã định, khó lòng xoay chuyển.","Khi nghiệp lực quá nặng nề, đừng cố vùng vẫy vô ích. Hãy học cách buông xuôi sự kháng cự, quay về sám hối và chấp nhận trả nghiệp. Sự bình thản trước thất bại là bước đầu tiên để giải thoát khổ đau."
99,"Quẻ Số 99 - Thượng Thượng (Đào Uyên Minh thưởng cúc)","Đẳng nhàn kỵ mã trước tiên tri,\nDục thượng thiên đình chiết quế chi.\nNgẫu ngộ thường nga lân nhất chỉ,\nĐắc ý hoan hỷ tiếu hy hy.","Ung dung cưỡi ngựa roi liền tay,\nMuốn lên thiên đình bẻ quế cây.\nTình cờ Hằng Nga thương một chỉ,\nĐắc ý vui mừng cười hì hì.","Phong thái ung dung tự tại, không cầu mà được. Muốn việc lớn (bẻ quế) lại gặp may mắn bất ngờ (Hằng Nga giúp). Mọi việc thuận buồm xuôi gió, vui vẻ hân hoan.","Sống thong dong, tùy duyên mà lại được phước lớn. Tâm không tham cầu quá mức thì may mắn tự tìm đến. Giữ tâm hồn thanh cao, thưởng hoa ngắm nguyệt, đời sẽ nhẹ nhàng như mây trôi."
100,"Quẻ Số 100 - Thượng Thượng (Đường Tăng đắc đạo - Viên Mãn)","Phật thần linh nghiệm đại nan cầu,\nThử thiêm cầu chi đắc tự do.\nVạn bệnh tận trừ tai ách thoái,\nBách niên hòa hợp đắc vô ưu.","Phật thần linh nghiệm rất khó cầu,\nQuẻ này xin được thật tự do.\nMuôn bệnh đều trừ tai ách thoái,\nTrăm năm hòa hợp được không lo.","Quẻ cuối cùng viên mãn nhất. Phật trời linh thiêng chứng giám. Cầu được quẻ này là đại phước. Bệnh tật tiêu tan, tai ương lùi bước, trăm năm hạnh phúc, tự do tự tại, không còn lo nghĩ gì.","Kết thúc viên mãn của hành trình tu tập và trải nghiệm. Tâm đã đạt đến sự tự do giải thoát (Vô quái ngại). Hãy trân trọng phước báu hy hữu này, sống trọn vẹn từng phút giây an lạc và hồi hướng công đức cho pháp giới chúng sinh."
